Egg Number,Width,Height,SI,ECC,GDM,SPH,Sex
5,1011,755,0.746785361,0.665065128,832.1756801,82.31213453,1
12,956,733,0.766736402,0.641962063,800.8575617,83.77171147,0
16,998,750,0.751503006,0.659729666,824.9311237,82.65842923,1
23,1108,767,0.692238267,0.721669025,867.0487093,78.25349362,1
32,1033,794,0.768635044,0.639687556,866.7897668,83.90994838,0
35,1047,780,0.744985673,0.667080465,860.4229036,82.17983797,1
40,1045,750,0.717703349,0.69634898,837.6828145,80.16103488,1
42,1010,734,0.726732673,0.68692039,816.4028232,80.83196269,1
51,1047,803,0.7669532,0.641703039,877.2551452,83.78750193,0
52,997,733,0.735205617,0.677844157,812.1464854,81.45902561,1
55,1009,799,0.791873142,0.610685621,863.6310372,85.5927688,0
58,984,743,0.755081301,0.655631169,815.938781,82.92060782,1
61,1016,779,0.766732284,0.641966982,851.1175409,83.77141151,0
65,989,787,0.795753286,0.605620927,849.27548,85.87214155,0
72,1029,769,0.747327502,0.664455871,847.4017401,82.35196697,1
77,1012,751,0.742094862,0.670294873,829.5071405,81.96710875,1
82,990,726,0.733333333,0.679869269,805.0746378,81.32067049,1
88,1055,741,0.702369668,0.711812369,833.610082,79.01517365,1
91,1099,756,0.687898089,0.725807288,856.4074326,77.92606302,1
103,1114,749,0.672351885,0.740231682,854.9675051,76.74753188,1
104,965,743,0.769948187,0.63810641,810.652974,84.00548953,0
105,1056,717,0.678977273,0.73415929,815.7693985,77.25089001,1
109,1037,737,0.710703954,0.703491215,825.8564735,79.6390042,1
114,930,728,0.782795699,0.622278791,789.9178038,84.93739825,0
121,1015,760,0.748768473,0.662831633,836.9465862,82.45779174,1
126,956,734,0.767782427,0.640710656,801.5857796,83.84788489,0
128,986,748,0.75862069,0.651532539,820.150153,83.1795287,1
163,1021,734,0.718903036,0.695110369,819.3559666,80.25033953,1
167,1003,749,0.746759721,0.665093918,825.571812,82.31025045,1
168,1059,762,0.719546742,0.694444012,850.3583246,80.2982365,1
169,1037,759,0.731918997,0.681391651,842.2107285,81.21607797,1
172,989,731,0.739130435,0.673562321,808.4943982,81.74867525,1
